,Quarter,Time,Tm,Detail,GNB,NYG
0,2.0,8:18,Packers,DeShawn Wynn 6 yard rush (Mason Crosby kick),7,0
1,2.0,7:16,Giants,Plaxico Burress 26 yard pass from Eli Manning (Lawrence Tynes kick),7,7
2,2.0,1:38,Giants,Lawrence Tynes 48 yard field goal,7,10
3,3.0,9:07,Packers,Bubba Franks 2 yard pass from Brett Favre (Mason Crosby kick),14,10
4,3.0,4:22,Giants,Lawrence Tynes 32 yard field goal,14,13
5,4.0,13:33,Packers,Donald Lee 3 yard pass from Brett Favre (Mason Crosby kick),21,13
6,4.0,11:41,Packers,Donald Driver 10 yard pass from Brett Favre (Mason Crosby kick),28,13
7,4.0,4:12,Packers,DeShawn Wynn 38 yard rush (Mason Crosby kick),35,13
