,Quarter,Time,Tm,Detail,SEA,PHI
0,1.0,,Seahawks,Shawn Springs 42 yard interception return (Todd Peterson kick),7,0
1,1.0,6:04,Seahawks,Joey Galloway 25 yard pass from Warren Moon (Todd Peterson kick),14,0
2,3.0,6:04,Seahawks,Mack Strong 11 yard pass from Warren Moon (Todd Peterson kick),21,0
3,3.0,6:04,Seahawks,Joey Galloway 35 yard pass from Warren Moon (Todd Peterson kick),28,0
4,3.0,6:04,Seahawks,Todd Peterson 42 yard field goal,31,0
5,4.0,6:04,Seahawks,Ahman Green 6 yard rush (Todd Peterson kick),38,0
