,Quarter,Tm,Detail,PHI,PHO
0,1.0,Eagles,Matt Bahr 27 yard field goal,3,0
1,1.0,Cardinals,Greg Davis 23 yard field goal,3,3
2,2.0,Cardinals,Greg Davis 20 yard field goal,3,6
3,2.0,Cardinals,Gary Clark 10 yard pass from Chris Chandler (Greg Davis kick),3,13
4,2.0,Cardinals,Greg Davis 29 yard field goal,3,16
