,Quarter,Tm,Detail,GNB,DAL
0,1.0,Packers,Chris Jacke 28 yard field goal,3,0
1,1.0,Cowboys,Luis Zendejas 41 yard field goal,3,3
2,2.0,Packers,Jeff Query 14 yard pass from Don Majkowski (Chris Jacke kick),10,3
3,3.0,Cowboys,Jack Del Rio 57 yard defensive fumble return (Luis Zendejas kick),10,10
4,3.0,Packers,Ed West 5 yard pass from Don Majkowski (Chris Jacke kick),17,10
5,4.0,Packers,Chris Jacke 24 yard field goal,20,10
