,Quarter,Tm,Detail,GNB,ATL
0,1.0,Falcons,Erric Pegram 4 yard rush (Norm Johnson kick),0,7
1,1.0,Packers,Sterling Sharpe 4 yard pass from Mike Tomczak (Chris Jacke kick),7,7
2,2.0,Packers,Darrell Thompson 40 yard rush (Chris Jacke kick),14,7
3,2.0,Packers,Perry Kemp 13 yard pass from Mike Tomczak (Chris Jacke kick),21,7
4,3.0,Falcons,Steve Broussard 3 yard rush (Norm Johnson kick),21,14
5,4.0,Packers,Sterling Sharpe 20 yard pass from Mike Tomczak (Chris Jacke kick),28,14
6,4.0,Falcons,Andre Rison 20 yard pass from Chris Miller (Norm Johnson kick),28,21
7,4.0,Falcons,Joe Fishback 16 yard special teams fumble return (Norm Johnson kick),28,28
8,4.0,Packers,Chris Jacke 27 yard field goal,31,28
9,4.0,Falcons,Andre Rison 16 yard pass from Chris Miller (Norm Johnson kick),31,35
