,Quarter,Tm,Detail,BAL,PHI
0,1.0,Colts,Raul Allegre 38 yard field goal,3,0
1,1.0,Eagles,Mike Quick 45 yard pass from Harold Carmichael (Tony Franklin kick),3,7
2,2.0,Colts,Raul Allegre 39 yard field goal,6,7
3,2.0,Colts,Randy McMillan 39 yard rush (Raul Allegre kick),13,7
4,2.0,Eagles,Perry Harrington 1 yard rush (Tony Franklin kick),13,14
5,2.0,Colts,Raul Allegre 37 yard field goal,16,14
6,3.0,Colts,Raul Allegre 42 yard field goal,19,14
7,3.0,Eagles,Harold Carmichael 6 yard pass from Ron Jaworski (Tony Franklin kick),19,21
8,4.0,Colts,Raul Allegre 30 yard field goal,22,21
