,Quarter,Tm,Detail,CIN,RAI
0,1.0,Raiders,Chris Bahr 38 yard field goal,0,3
1,1.0,Bengals,Jim Breech 39 yard field goal,3,3
2,2.0,Raiders,Chris Bahr 20 yard field goal,3,6
3,3.0,Bengals,Jim Breech 37 yard field goal,6,6
4,4.0,Raiders,Marcus Allen 7 yard pass from Marc Wilson (Chris Bahr kick),6,13
