,Quarter,Tm,Detail,WAS,MIN
0,1.0,Redskins,Bill Malinchak 16 yard blocked punt return (Curt Knight kick),7,0
1,2.0,Vikings,Clint Jones 1 yard rush (Fred Cox kick),7,7
2,2.0,Redskins,Curt Knight 30 yard field goal,10,7
3,3.0,Vikings,John Gilliam 11 yard pass from Fran Tarkenton (Fred Cox kick),10,14
4,4.0,Redskins,Larry Brown 3 yard rush (Curt Knight kick),17,14
5,4.0,Redskins,Charlie Harraway 9 yard rush (Curt Knight kick),24,14
6,4.0,Vikings,Bill Brown 4 yard pass from Fran Tarkenton (Fred Cox kick),24,21
