,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,,Eagles,Duce Staley 1 yard rush,6,0
1,2.0,0:27,Eagles,Chris Boniol 24 yard field goal,9,0
2,3.0,0:27,Falcons,Brian Kozlowski 19 yard pass from Chris Chandler (Morten Andersen kick),9,7
3,3.0,0:27,Falcons,Jamal Anderson 1 yard rush (Morten Andersen kick),9,14
4,4.0,0:27,Eagles,Chris Boniol 42 yard field goal,12,14
5,4.0,0:27,Falcons,Morten Andersen 23 yard field goal,12,17
