,Quarter,Tm,Detail,DEN,NWE
0,1.0,Patriots,Steve Grogan 1 yard rush (John Smith kick),0,7
1,2.0,Patriots,John Smith 49 yard field goal,0,10
2,2.0,Patriots,Al Chandler 3 yard pass from Steve Grogan (John Smith kick),0,17
3,2.0,Patriots,Mike Haynes 62 yard punt return (John Smith kick),0,24
4,2.0,Patriots,Andy Johnson 1 yard rush (John Smith kick),0,31
5,3.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),7,31
6,4.0,Patriots,Ike Forte 3 yard rush (John Smith kick),7,38
7,4.0,Broncos,Riley Odoms 11 yard pass from Craig Penrose (Jim Turner kick),14,38
