,Quarter,Tm,Detail,WAS,SFO
0,1.0,49ers,Joe Perry 1 yard rush,0,6
1,1.0,49ers,Billy Wilson 5 yard pass from Y.A. Tittle (Joe Perry kick),0,13
2,2.0,49ers,Y.A. Tittle 1 yard rush (Joe Perry kick),0,20
3,2.0,49ers,Rex Berry 34 yard interception return (Joe Perry kick),0,27
4,3.0,Redskins,Joe Scudero 13 yard pass from Jack Scarbath (Jim Kincaid kick),7,27
5,4.0,49ers,Joe Perry 6 yard rush (Joe Perry kick),7,34
6,4.0,49ers,John Henry Johnson 8 yard rush (Joe Perry kick),7,41
