,Quarter,Time,Tm,Detail,WAS,CAR
0,2.0,12:52,Panthers,John Kasay 25 yard field goal,0,3
1,2.0,3:09,Redskins,John Hall 23 yard field goal,3,3
2,3.0,10:36,Panthers,Jake Delhomme 1 yard rush (John Kasay kick),3,10
3,4.0,11:57,Redskins,Darnerien McCants 4 yard pass from Patrick Ramsey (John Hall kick),10,10
4,4.0,5:24,Panthers,John Kasay 26 yard field goal,10,13
5,4.0,4:19,Redskins,Patrick Johnson 10 yard pass from Patrick Ramsey (John Hall kick),17,13
6,4.0,1:09,Panthers,Stephen Davis 3 yard rush (John Kasay kick),17,20
