,Quarter,Tm,Detail,WAS,OAK
0,1.0,Raiders,Hewritt Dixon 39 yard rush (George Blanda kick),0,7
1,1.0,Raiders,Warren Wells 28 yard pass from Daryle Lamonica (George Blanda kick),0,14
2,1.0,Redskins,Curt Knight 14 yard field goal,3,14
3,2.0,Raiders,George Blanda 35 yard field goal,3,17
4,2.0,Redskins,Curt Knight 34 yard field goal,6,17
5,2.0,Redskins,Charley Taylor 39 yard pass from Sonny Jurgensen (Curt Knight kick),13,17
6,2.0,Raiders,George Blanda 21 yard field goal,13,20
7,3.0,Raiders,Warren Wells 24 yard pass from Daryle Lamonica (George Blanda kick),13,27
8,3.0,Raiders,Charlie Smith 16 yard pass from Daryle Lamonica (George Blanda kick),13,34
9,4.0,Redskins,Jerry Smith 23 yard pass from Sonny Jurgensen (Curt Knight kick),20,34
