,Quarter,Tm,Detail,NYJ,CIN
0,2.0,Jets,George Sauer 14 yard pass from Joe Namath (Jim Turner kick),7,0
1,2.0,Jets,Joe Namath 1 yard rush (Jim Turner kick),14,0
2,3.0,Jets,Paul Crane 12 yard blocked punt return (Jim Turner kick),21,0
3,3.0,Bengals,Eric Crabtree 23 yard pass from Sam Wyche (Horst Muhlmann kick),21,7
