,Quarter,Tm,Detail,ATL,CIN
0,1.0,Bengals,Cris Collinsworth 57 yard pass from Turk Schonert (Jim Breech kick),0,7
1,1.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),0,14
2,2.0,Bengals,Robert Jackson 28 yard interception return (Jim Breech kick),0,21
3,3.0,Bengals,Charles Alexander 1 yard rush (Jim Breech kick),0,28
4,3.0,Falcons,Gerald Riggs 6 yard rush (Mick Luckhurst kick),7,28
5,3.0,Falcons,Gerald Riggs 2 yard rush (Mick Luckhurst kick),14,28
6,4.0,Bengals,Cris Collinsworth 20 yard pass from Turk Schonert (Jim Breech kick),14,35
