,Quarter,Tm,Detail,ATL,RAM
0,1.0,Falcons,Norm Johnson 21 yard field goal,3,0
1,1.0,Falcons,Steve Broussard 1 yard rush (Norm Johnson kick),10,0
2,2.0,Rams,Pat Carter 6 yard pass from Jim Everett (Tony Zendejas kick),10,7
3,2.0,Falcons,Steve Broussard 1 yard rush (Norm Johnson kick),17,7
4,2.0,Falcons,Andre Rison 6 yard pass from Chris Miller (Norm Johnson kick),24,7
5,3.0,Falcons,Michael Haynes 9 yard pass from Chris Miller (Norm Johnson kick),31,7
6,4.0,Rams,Ernie Thompson 13 yard pass from Mike Pagel (Tony Zendejas kick),31,14
