,Quarter,Tm,Detail,PIT,BAL
0,1.0,Steelers,Walter Abercrombie 11 yard rush (Gary Anderson kick),7,0
1,1.0,Colts,Raul Allegre 46 yard field goal,7,3
2,2.0,Colts,Raul Allegre 37 yard field goal,7,6
3,2.0,Steelers,Gary Anderson 42 yard field goal,10,6
4,2.0,Steelers,Calvin Sweeney 7 yard pass from Cliff Stoudt (Gary Anderson kick),17,6
5,3.0,Colts,Curtis Dickey 5 yard rush (Raul Allegre kick),17,13
6,4.0,Steelers,Bennie Cunningham 2 yard pass from Cliff Stoudt (Gary Anderson kick),24,13
