,Quarter,Time,Tm,Detail,CIN,IND
0,1.0,,Colts,Marshall Faulk 16 yard rush (Mike Vanderjagt kick),0,7
1,1.0,,Colts,Mike Vanderjagt 50 yard field goal,0,10
2,1.0,,Bengals,Doug Pelfrey 41 yard field goal,3,10
3,2.0,,Colts,Marshall Faulk 1 yard rush (Mike Vanderjagt kick),3,17
4,2.0,,Bengals,Doug Pelfrey 26 yard field goal,6,17
5,2.0,0:52,Colts,E.G. Green 11 yard pass from Peyton Manning (Mike Vanderjagt kick),6,24
6,3.0,0:52,Bengals,Carl Pickens 6 yard pass from Jeff Blake (pass failed),12,24
7,3.0,0:52,Colts,Torrance Small 16 yard pass from Peyton Manning (Mike Vanderjagt kick),12,31
8,4.0,0:52,Colts,Torrance Small 16 yard pass from Peyton Manning (Marcus Pollard pass from Peyton Manning),12,39
9,4.0,0:52,Bengals,Brandon Bennett 5 yard rush (Doug Pelfrey kick),19,39
10,4.0,1:24,Bengals,Stepfret Williams 19 yard pass from Eric Kresser (Doug Pelfrey kick),26,39
