,Quarter,Tm,Detail,BAL,SFO
0,1.0,49ers,Tommy Davis 26 yard field goal,0,3
1,2.0,49ers,Tommy Davis 33 yard field goal,0,6
2,2.0,Colts,Lou Michaels 10 yard field goal,3,6
3,3.0,Colts,Lou Michaels 12 yard field goal,6,6
4,3.0,Colts,Lenny Lyles 36 yard interception return (Lou Michaels kick),13,6
5,3.0,Colts,Tony Lorick 1 yard rush (Lou Michaels kick),20,6
6,4.0,49ers,Tommy Davis 33 yard field goal,20,9
7,4.0,Colts,Lou Michaels 47 yard field goal,23,9
8,4.0,Colts,Lou Michaels 27 yard field goal,26,9
