,Quarter,Tm,Detail,STL,MIA
0,1.0,Dolphins,Jim Kiick 2 yard rush (Garo Yepremian kick),0,7
1,2.0,Cardinals,Jim Bakken 49 yard field goal,3,7
2,2.0,Dolphins,Garo Yepremian 25 yard field goal,3,10
3,3.0,Dolphins,Otto Stowe 37 yard pass from Earl Morrall (Garo Yepremian kick),3,17
4,3.0,Dolphins,Lloyd Mumphord 28 yard interception return (Garo Yepremian kick),3,24
5,4.0,Cardinals,Leon Burns 2 yard rush (Jim Bakken kick),10,24
6,4.0,Dolphins,Otto Stowe 27 yard pass from Earl Morrall (Garo Yepremian kick),10,31
