,Quarter,Time,Tm,Detail,CAR,LAC
0,1.0,9:25,Panthers,Joey Slye 29 yard field goal,3,0
1,1.0,4:31,Panthers,Joey Slye 24 yard field goal,6,0
2,2.0,14:22,Chargers,Austin Ekeler 12 yard rush (Michael Badgley kick),6,7
3,2.0,8:15,Panthers,Joey Slye 30 yard field goal,9,7
4,2.0,3:06,Panthers,Mike Davis 13 yard pass from Teddy Bridgewater (Joey Slye kick failed),15,7
5,2.0,0:03,Panthers,Joey Slye 22 yard field goal,18,7
6,3.0,1:18,Chargers,Michael Badgley 41 yard field goal,18,10
7,4.0,11:03,Panthers,Joey Slye 31 yard field goal,21,10
8,4.0,4:39,Chargers,Keenan Allen 14 yard pass from Justin Herbert (pass failed),21,16
