,Quarter,Time,Tm,Detail,SFO,NYJ
0,1.0,14:53,49ers,Raheem Mostert 80 yard rush (Robbie Gould kick),7,0
1,1.0,3:43,Jets,Sam Ficken 41 yard field goal,7,3
2,2.0,10:01,49ers,Jordan Reed 18 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,3
3,2.0,0:15,49ers,Jordan Reed 4 yard pass from Jimmy Garoppolo (Robbie Gould kick),21,3
4,3.0,8:53,49ers,Robbie Gould 46 yard field goal,24,3
5,3.0,2:52,Jets,Sam Ficken 25 yard field goal,24,6
6,4.0,10:30,49ers,Jerick McKinnon 16 yard rush (Robbie Gould kick),31,6
7,4.0,1:33,Jets,Braxton Berrios 30 yard pass from Sam Darnold (Sam Ficken kick),31,13
