,Quarter,Time,Tm,Detail,CLE,PIT
0,1.0,,Steelers,Yancey Thigpen 40 yard pass from Neil O'Donnell (Gary Anderson kick),0,7
1,1.0,,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),0,14
2,2.0,,Browns,Mark Carrier 14 yard pass from Vinny Testaverde (Matt Stover kick),7,14
3,4.0,,Steelers,Gary Anderson 49 yard field goal,7,17
