,Quarter,Tm,Detail,CLE,NYJ
0,1.0,Browns,Eric Metcalf 98 yard kickoff return (Jerry Kauric kick),7,0
1,1.0,Jets,Freeman McNeil 2 yard rush (Pat Leahy kick),7,7
2,1.0,Jets,Johnny Hector 6 yard rush (Pat Leahy kick),7,14
3,2.0,Jets,Pat Leahy 47 yard field goal,7,17
4,2.0,Jets,Brad Baxter 1 yard rush (Pat Leahy kick),7,24
5,3.0,Browns,Reggie Langhorne 4 yard pass from Bernie Kosar (Jerry Kauric kick),14,24
6,4.0,Browns,Leroy Hoard 9 yard rush (Jerry Kauric kick),21,24
