,Quarter,Tm,Detail,OAK,CHI
0,1.0,Bears,Walter Payton 5 yard rush (Bob Thomas kick),0,7
1,2.0,Raiders,Dave Casper 17 yard pass from Ken Stabler (Errol Mann kick),7,7
2,2.0,Raiders,Cliff Branch 75 yard pass from Ken Stabler (Errol Mann kick),14,7
3,3.0,Raiders,Clarence Davis 2 yard rush (Errol Mann kick),21,7
4,3.0,Bears,James Scott 36 yard pass from Bob Avellini (Bob Thomas kick),21,14
5,3.0,Bears,Walter Payton 12 yard rush,21,20
6,3.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),21,27
7,4.0,Raiders,Cliff Branch 49 yard pass from Ken Stabler (Errol Mann kick),28,27
