,Quarter,Time,Tm,Detail,JAX,KAN
0,1.0,6:39,Chiefs,Patrick Mahomes 4 yard rush (Harrison Butker kick),0,7
1,2.0,13:30,Chiefs,Harrison Butker 22 yard field goal,0,10
2,2.0,1:56,Chiefs,Harrison Butker 42 yard field goal,0,13
3,2.0,1:49,Chiefs,Chris Jones 20 yard interception return (Harrison Butker kick),0,20
4,3.0,5:27,Chiefs,Harrison Butker 38 yard field goal,0,23
5,3.0,3:10,Jaguars,T.J. Yeldon 14 yard pass from Blake Bortles (Josh Lambo kick),7,23
6,4.0,14:57,Chiefs,Kareem Hunt 4 yard rush (Harrison Butker kick),7,30
7,4.0,5:46,Jaguars,Blake Bortles 21 yard rush (Josh Lambo kick),14,30
