,Quarter,Tm,Detail,NYY,BUF
0,1.0,Yankees,Red Grange 5 yard rush (Bo Molenda kick),7,0
1,2.0,Bisons,"Safety,",7,2
2,3.0,Yankees,Wild Bill Kelly 12 yard rush,13,2
3,4.0,Bisons,Harlan Carr 1 yard rush,13,8
4,4.0,Yankees,Wild Bill Kelly unknown yard rush,19,8
