,Quarter,Tm,Detail,HOU,CIN
0,2.0,Oilers,Teddy Garcia 29 yard field goal,3,0
1,2.0,Oilers,Haywood Jeffires 21 yard pass from Warren Moon (Teddy Garcia kick),10,0
2,2.0,Bengals,Ickey Woods 1 yard rush,10,6
3,2.0,Oilers,Teddy Garcia 36 yard field goal,13,6
4,2.0,Bengals,James Brooks 56 yard rush (Jim Breech kick),13,13
5,3.0,Oilers,Warren Moon 1 yard rush (Teddy Garcia kick),20,13
6,3.0,Bengals,Stanford Jennings 1 yard rush (Jim Breech kick),20,20
7,3.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),20,27
8,4.0,Bengals,Eric Kattus 16 yard pass from Boomer Esiason (Jim Breech kick),20,34
9,4.0,Bengals,Eric Kattus 22 yard pass from Boomer Esiason,20,40
