,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Billy Howton 39 yard pass from Bart Starr,0,6
1,2.0,Packers,Fred Cone 20 yard field goal,0,9
2,2.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),7,9
3,3.0,49ers,Hugh McElhenny 86 yard rush (Gordie Soltau kick),14,9
4,4.0,49ers,Gordie Soltau 32 yard field goal,17,9
5,4.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),17,16
