,Quarter,Tm,Detail,RAM,STL
0,2.0,Rams,Eric Dickerson 1 yard rush,6,0
1,2.0,Cardinals,John Lee 28 yard field goal,6,3
2,3.0,Rams,Eric Dickerson 16 yard rush (Mike Lansford kick),13,3
3,3.0,Rams,Mike Lansford 26 yard field goal,16,3
4,4.0,Cardinals,Ottis Anderson 4 yard rush (John Lee kick),16,10
