,Quarter,Time,Tm,Detail,TAM,NYG
0,2.0,,Buccaneers,Mike Alstott 1 yard pass from Trent Dilfer (Michael Husted kick),7,0
1,2.0,,Giants,Brad Daluiso 45 yard field goal,7,3
2,3.0,,Buccaneers,Mike Alstott 9 yard rush (Michael Husted kick),14,3
3,3.0,,Giants,Brad Daluiso 30 yard field goal,14,6
4,4.0,,Giants,"Safety, Dilfer called for intentional grounding in end zone",14,8
5,4.0,,Buccaneers,Errict Rhett 1 yard rush (pass failed),20,8
