,Quarter,Tm,Detail,KAN,CLE
0,2.0,Browns,Matt Bahr 40 yard field goal,0,3
1,3.0,Chiefs,Neil Smith 3 yard defensive fumble return (Nick Lowery kick),7,3
2,3.0,Browns,Eric Metcalf 1 yard rush (Matt Bahr kick),7,10
3,4.0,Chiefs,Nick Lowery 41 yard field goal,10,10
