,Quarter,Time,Tm,Detail,BAL,TEN
0,1.0,10:58,Titans,Ryan Succop 48 yard field goal,0,3
1,1.0,5:59,Ravens,Justin Tucker 30 yard field goal,3,3
2,1.0,1:04,Titans,Rishard Matthews 16 yard pass from Marcus Mariota (Ryan Succop kick),3,10
3,2.0,9:56,Ravens,Justin Tucker 49 yard field goal,6,10
4,2.0,2:24,Titans,Derrick Henry 1 yard rush (Ryan Succop kick failed),6,16
5,4.0,8:56,Ravens,Javorius Allen 3 yard pass from Joe Flacco (Justin Tucker kick),13,16
6,4.0,3:58,Titans,Eric Decker 11 yard pass from Marcus Mariota (Ryan Succop kick),13,23
7,4.0,0:46,Ravens,Mike Wallace 1 yard pass from Joe Flacco (Justin Tucker kick),20,23
