,Quarter,Tm,Detail,MIN,DET
0,2.0,Lions,Jim Ninowski 7 yard rush (Jim Martin kick),0,7
1,3.0,Vikings,Hugh McElhenny 2 yard pass from Fran Tarkenton (Mike Mercer kick),7,7
2,3.0,Lions,Jim Martin 43 yard field goal,7,10
3,4.0,Lions,Jim Martin 23 yard field goal,7,13
