,Quarter,Tm,Detail,GNB,NYG
0,2.0,Giants,Joe Morris 3 yard rush (run failed),0,6
1,2.0,Giants,Lee Rouson 26 yard pass from Phil Simms (Raul Allegre kick),0,13
2,3.0,Giants,Zeke Mowatt 1 yard pass from Phil Simms (Raul Allegre kick),0,20
3,3.0,Packers,Max Zendejas 26 yard field goal,3,20
4,4.0,Packers,Jessie Clark 3 yard pass from Paul Ott Carruth (Max Zendejas kick),10,20
