,Quarter,Tm,Detail,CRD,PRV
0,2,Steam Roller,Frosty Peters 22 yard field goal,0,3
1,3,Steam Roller,Frank Racis 40 yard interception return,0,9
2,4,Cardinals,Mack Flenniken 4 yard rush (George Bogue kick),7,9
