,Quarter,Time,Tm,Detail,MIN,KAN
0,1.0,8:42,Chiefs,Donnell Bennett 2 yard rush (Pete Stoyanovich kick),0,7
1,1.0,3:09,Chiefs,Tony Gonzalez 13 yard pass from Elvis Grbac (Pete Stoyanovich kick),0,14
2,2.0,13:29,Chiefs,Tony Gonzalez 9 yard pass from Elvis Grbac (Pete Stoyanovich kick),0,21
3,2.0,13:01,Vikings,Robert Tate 76 yard kickoff return (Gary Anderson kick),7,21
4,2.0,0:40,Vikings,Matthew Hatchette 8 yard pass from Jeff George (Gary Anderson kick),14,21
5,3.0,4:34,Vikings,Randy Moss 12 yard pass from Jeff George (Gary Anderson kick),21,21
6,4.0,8:01,Chiefs,Eric Hicks 44 yard defensive fumble return (Pete Stoyanovich kick),21,28
7,4.0,1:38,Vikings,Randy Moss 64 yard punt return (Gary Anderson kick),28,28
8,4.0,0:03,Chiefs,Pete Stoyanovich 38 yard field goal,28,31
