,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Sam Baker 35 yard field goal,0,3
1,2.0,Steelers,Willie Asbury 7 yard rush (Mike Clark kick),7,3
2,2.0,Steelers,Mike Clark 37 yard field goal,10,3
3,2.0,Eagles,Tom Woodeshick 3 yard rush (Sam Baker kick),10,10
4,2.0,Eagles,Sam Baker 22 yard field goal,10,13
5,2.0,Steelers,Mike Clark 32 yard field goal,13,13
6,3.0,Steelers,Mike Clark 35 yard field goal,16,13
7,3.0,Eagles,Tom Woodeshick 1 yard rush (Sam Baker kick),16,20
8,4.0,Eagles,Jack Concannon 1 yard rush (Sam Baker kick),16,27
9,4.0,Steelers,Willie Asbury 2 yard rush (Mike Clark kick),23,27
