,Quarter,Tm,Detail,PHI,CRD
0,3.0,Eagles,Bud Jorgensen 18 yard field goal,3,0
1,4.0,Cardinals,Bob Neuman 5 yard blocked punt return,3,6
2,4.0,Cardinals,Mike Mikulak 6 yard rush,3,12
