,Quarter,Tm,Detail,WAS,PHI
0,1,Eagles,Horst Muhlmann 22 yard field goal,0,3
1,2,Eagles,Art Malone 15 yard rush (Horst Muhlmann kick),0,10
2,2,Redskins,Mark Moseley 27 yard field goal,3,10
3,2,Redskins,Brad Dusek 32 yard defensive fumble return (Mark Moseley kick),10,10
4,3,Redskins,Mike Thomas 27 yard rush (Mark Moseley kick),17,10
5,4,Eagles,Charlie Smith 41 yard pass from Mike Boryla (Horst Muhlmann kick),17,17
6,OT,Redskins,Mark Moseley 29 yard field goal,20,17
