,Quarter,Tm,Detail,BAL,NWE
0,1.0,Patriots,Don Calhoun 2 yard rush (John Smith kick),0,7
1,3.0,Patriots,Russ Francis 31 yard pass from Steve Grogan (John Smith kick),0,14
2,3.0,Colts,Toni Linhart 40 yard field goal,3,14
3,3.0,Patriots,John Smith 18 yard field goal,3,17
