,Quarter,Tm,Detail,NOR,NWE
0,1.0,Saints,Dalton Hilliard 3 yard rush (Morten Andersen kick),7,0
1,2.0,Saints,Hoby Brenner 1 yard pass from Bobby Hebert (Morten Andersen kick),14,0
2,2.0,Saints,Brett Maxie 26 yard interception return (Morten Andersen kick),21,0
3,2.0,Saints,Dalton Hilliard 10 yard rush (Morten Andersen kick),28,0
4,2.0,Patriots,Bob Perryman 1 yard rush (Jason Staurovsky kick),28,7
5,2.0,Patriots,Jason Staurovsky 44 yard field goal,28,10
6,4.0,Patriots,Hart Lee Dykes 13 yard pass from Steve Grogan (Jason Staurovsky kick),28,17
7,4.0,Patriots,Bob Perryman 3 yard rush (Jason Staurovsky kick),28,24
