,Quarter,Tm,Detail,MIN,ATL
0,2.0,Falcons,Nick Mike-Mayer 25 yard field goal,0,3
1,2.0,Vikings,John Gilliam 39 yard pass from Fran Tarkenton (Fred Cox kick),7,3
2,2.0,Falcons,Dave Hampton 19 yard pass from Bob Lee (Nick Mike-Mayer kick),7,10
3,2.0,Falcons,Eddie Ray 39 yard pass from Bob Lee (Nick Mike-Mayer kick),7,17
4,3.0,Falcons,Nick Mike-Mayer 49 yard field goal,7,20
5,4.0,Vikings,Bill Brown 2 yard pass from Fran Tarkenton (Fred Cox kick),14,20
