,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Nick Lowery 50 yard field goal,0,3
1,1.0,Broncos,Rich Karlis 23 yard field goal,3,3
2,2.0,Chiefs,Carlos Carson 6 yard pass from Steve DeBerg (Nick Lowery kick),3,10
3,2.0,Broncos,Tony Dorsett 8 yard rush (Rich Karlis kick),10,10
4,3.0,Chiefs,Paul Palmer 14 yard pass from Steve DeBerg (Nick Lowery kick),10,17
5,4.0,Broncos,Rich Karlis 42 yard field goal,13,17
6,4.0,Chiefs,Nick Lowery 29 yard field goal,13,20
