,Quarter,Tm,Detail,PHI,BUF
0,1.0,Bills,James Lofton 63 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,1.0,Bills,Scott Norwood 43 yard field goal,0,10
2,1.0,Bills,Andre Reed 56 yard pass from Jim Kelly (Scott Norwood kick),0,17
3,1.0,Bills,Thurman Thomas 4 yard pass from Jim Kelly (Scott Norwood kick),0,24
4,2.0,Eagles,Keith Jackson 18 yard pass from Randall Cunningham,6,24
5,2.0,Eagles,Roger Ruzek 32 yard field goal,9,24
6,2.0,Eagles,Fred Barnett 95 yard pass from Randall Cunningham (Roger Ruzek kick),16,24
7,3.0,Eagles,Keith Byars 1 yard pass from Randall Cunningham (Roger Ruzek kick),23,24
8,3.0,Bills,Scott Norwood 21 yard field goal,23,27
9,4.0,Bills,Scott Norwood 45 yard field goal,23,30
