,Quarter,Tm,Detail,RAM,ATL
0,2.0,Rams,Wendell Tyler 5 yard rush (Frank Corral kick),7,0
1,2.0,Falcons,Haskel Stanback 2 yard rush,7,6
2,2.0,Rams,Billy Waddy 25 yard pass from Vince Ferragamo (Frank Corral kick),14,6
3,2.0,Rams,Jim Youngblood 34 yard interception return (Frank Corral kick),21,6
4,2.0,Rams,Cullen Bryant 4 yard rush (Frank Corral kick),28,6
5,3.0,Rams,Frank Corral 18 yard field goal,31,6
6,4.0,Rams,Frank Corral 24 yard field goal,34,6
7,4.0,Falcons,Mike Moroski 2 yard rush (Tim Mazzetti kick),34,13
