,Quarter,Tm,Detail,SEA,HOU
0,1.0,Seahawks,Efren Herrera 41 yard field goal,3,0
1,1.0,Seahawks,David Hughes 17 yard pass from Jim Zorn (Efren Herrera kick),10,0
2,1.0,Oilers,Ken Burrough 31 yard pass from Ken Stabler (Toni Fritsch kick),10,7
3,2.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),10,14
4,4.0,Oilers,Dave Casper 32 yard pass from Ken Stabler (Toni Fritsch kick),10,21
5,4.0,Oilers,Ken Burrough 24 yard pass from Ken Stabler (Toni Fritsch kick),10,28
6,4.0,Oilers,Earl Campbell 4 yard rush (Toni Fritsch kick),10,35
7,4.0,Seahawks,Steve Largent 31 yard pass from Sam Adkins (Efren Herrera kick),17,35
