,Quarter,Tm,Detail,NYG,STL
0,1.0,Giants,Bill Triplett 4 yard rush (Les Murdock kick),7,0
1,1.0,Cardinals,Johnny Roland 5 yard rush (Jim Bakken kick),7,7
2,2.0,Cardinals,Jim Bakken 39 yard field goal,7,10
3,3.0,Giants,Bill Triplett 1 yard rush (Les Murdock kick),14,10
4,3.0,Giants,Homer Jones 70 yard pass from Fran Tarkenton (Les Murdock kick),21,10
5,3.0,Cardinals,Jim Bakken 19 yard field goal,21,13
6,4.0,Giants,Homer Jones 38 yard pass from Fran Tarkenton,27,13
7,4.0,Giants,Del Shofner 33 yard pass from Fran Tarkenton (Les Murdock kick),34,13
8,4.0,Giants,Les Murdock 19 yard field goal,37,13
9,4.0,Cardinals,Prentice Gautt 12 yard pass from Jim Hart (Jim Bakken kick),37,20
