,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,14:43,Eagles,Brian Mitchell 94 yard kickoff return (David Akers kick),7,0
1,2.0,2:44,Eagles,James Thrash 8 yard pass from Donovan McNabb (David Akers kick),14,0
2,2.0,1:05,Cardinals,Tywan Mitchell 2 yard pass from Jake Plummer (Bill Gramatica kick),14,7
3,2.0,0:33,Eagles,James Thrash 54 yard pass from Donovan McNabb (David Akers kick),21,7
