,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Johnny Davis 1 yard rush (Ray Wersching kick),0,7
1,2.0,49ers,Joe Montana 20 yard rush (Ray Wersching kick),0,14
2,2.0,Giants,Joe Danelo 52 yard field goal,3,14
3,4.0,Giants,Rob Carpenter 3 yard rush (Joe Danelo kick),10,14
4,4.0,49ers,Ray Wersching 23 yard field goal,10,17
