,Quarter,Tm,Detail,PIT,CRD
0,1.0,Cardinals,Jim Root 3 yard rush (Pat Summerall kick),0,7
1,1.0,Steelers,Ray Mathews 29 yard pass from Ted Marchibroda (Sid Watson kick),7,7
2,2.0,Cardinals,Ollie Matson 1 yard rush (Pat Summerall kick),7,14
3,2.0,Cardinals,Pat Summerall 27 yard field goal,7,17
4,2.0,Cardinals,Ollie Matson 79 yard rush (Pat Summerall kick),7,24
5,3.0,Cardinals,Joe Childress 34 yard pass from Jim Root (Pat Summerall kick),7,31
6,4.0,Steelers,Henry Ford 3 yard rush (Sid Watson kick),14,31
7,4.0,Steelers,Elbie Nickel 4 yard pass from Ted Marchibroda,20,31
8,4.0,Cardinals,Lamar McHan 1 yard rush (Pat Summerall kick),20,38
9,4.0,Steelers,Henry Ford 4 yard rush (Sid Watson kick),27,38
