,Quarter,Time,Tm,Detail,BUF,SEA
0,1.0,,Seahawks,Joey Galloway 27 yard pass from Rick Mirer (Todd Peterson kick),0,7
1,1.0,,Seahawks,Todd Peterson 41 yard field goal,0,10
2,2.0,,Seahawks,Todd Peterson 38 yard field goal,0,13
3,2.0,,Seahawks,Todd Peterson 22 yard field goal,0,16
4,2.0,,Bills,Eric Moulds 37 yard pass from Jim Kelly (Quinn Early pass from Jim Kelly),8,16
5,3.0,,Seahawks,Todd Peterson 30 yard field goal,8,19
6,4.0,,Bills,Steve Christie 22 yard field goal,11,19
7,4.0,,Seahawks,Lamar Smith 12 yard rush (Todd Peterson kick),11,26
8,4.0,,Bills,Chris Brantley 22 yard pass from Todd Collins (Steve Christie kick),18,26
