,Quarter,Tm,Detail,PIT,HOU
0,2.0,Oilers,Billy Johnson 47 yard rush (Skip Butler kick),0,7
1,2.0,Steelers,Roy Gerela 37 yard field goal,3,7
2,3.0,Steelers,Roy Gerela 27 yard field goal,6,7
3,4.0,Steelers,Preston Pearson 9 yard rush (Roy Gerela kick),13,7
