,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Wilbert Montgomery 34 yard rush (Nick Mike-Mayer kick),7,0
1,1.0,Redskins,Joe Theismann 4 yard rush (Mark Moseley kick),7,7
2,2.0,Eagles,Nick Mike-Mayer 32 yard field goal,10,7
3,2.0,Redskins,Jean Fugett 49 yard pass from Joe Theismann (Mark Moseley kick),10,14
4,2.0,Redskins,Jean Fugett 19 yard pass from Joe Theismann (Mark Moseley kick),10,21
5,3.0,Redskins,Tony Green 80 yard punt return (Mark Moseley kick),10,28
6,3.0,Eagles,Wilbert Montgomery 10 yard pass from Ron Jaworski,16,28
7,4.0,Redskins,Danny Buggs 37 yard pass from Joe Theismann (Mark Moseley kick),16,35
8,4.0,Eagles,Wilbert Montgomery 8 yard rush (Nick Mike-Mayer kick),23,35
9,4.0,Eagles,Wilbert Montgomery 5 yard rush (Nick Mike-Mayer kick),30,35
