,Quarter,Tm,Detail,COL,BUF
0,1.0,Bisons,Doc Bruder unknown yard rush (Jim Kendrick kick),0,7
1,1.0,Bisons,Jim Kendrick 15 yard field goal,0,10
2,4.0,Bisons,Harry Curzon unknown yard pass from Jim Kendrick (Jim Kendrick kick),0,17
3,4.0,Tigers,Bob Rapp unknown yard rush,6,17
