,Quarter,Tm,Detail,BOS,NYJ
0,1.0,Jets,Jim Turner 37 yard field goal,0,3
1,3.0,Patriots,Gino Cappelletti 9 yard field goal,3,3
2,3.0,Jets,George Nock 2 yard rush (Jim Turner kick),3,10
3,4.0,Jets,George Nock 6 yard rush (Jim Turner kick),3,17
