,Quarter,Tm,Detail,NYJ,SFO
0,2.0,49ers,Ray Wersching 45 yard field goal,0,3
1,2.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),7,3
2,2.0,Jets,Lam Jones 28 yard pass from Richard Todd (Pat Leahy kick),14,3
3,2.0,49ers,Roger Craig 6 yard pass from Joe Montana (Ray Wersching kick),14,10
4,2.0,Jets,Pat Leahy 49 yard field goal,17,10
5,3.0,49ers,Ray Wersching 24 yard field goal,17,13
6,4.0,Jets,Pat Leahy 46 yard field goal,20,13
7,4.0,Jets,Jerry Holmes 43 yard interception return (Pat Leahy kick),27,13
