,Quarter,Time,Tm,Detail,DAL,GNB
0,1.0,,Packers,Dorsey Levens 7 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,,Cowboys,Richie Cunningham 29 yard field goal,3,7
2,2.0,,Cowboys,Deion Sanders 50 yard interception return (Richie Cunningham kick),10,7
3,2.0,,Packers,Ryan Longwell 32 yard field goal,10,10
4,3.0,,Packers,Mark Chmura 4 yard pass from Brett Favre (Ryan Longwell kick),10,17
5,3.0,,Packers,Mark Chmura 2 yard pass from Brett Favre (Ryan Longwell kick),10,24
6,4.0,,Cowboys,Emmitt Smith 21 yard rush (Richie Cunningham kick),17,24
7,4.0,,Packers,Antonio Freeman 23 yard pass from Brett Favre (Ryan Longwell kick),17,31
8,4.0,,Packers,Dorsey Levens 5 yard rush (Ryan Longwell kick),17,38
9,4.0,,Packers,Darren Sharper 34 yard defensive fumble return (Ryan Longwell kick),17,45
