,Quarter,Tm,Detail,RAM,ATL
0,1.0,Falcons,Cannonball Butler 1 yard pass from Bob Berry,0,6
1,2.0,Rams,Roman Gabriel 1 yard rush (David Ray kick),7,6
2,2.0,Rams,David Ray 24 yard field goal,10,6
3,3.0,Falcons,Bill Bell 35 yard field goal,10,9
4,4.0,Falcons,John Mallory 54 yard defensive fumble return (Bill Bell kick),10,16
5,4.0,Rams,Roman Gabriel 1 yard rush (David Ray kick),17,16
6,4.0,Rams,Willie Ellison 5 yard rush (David Ray kick),24,16
