,Quarter,Tm,Detail,CLE,RAM
0,1.0,Rams,Paige Cothren 40 yard field goal,0,3
1,2.0,Rams,Lamar Lundy 20 yard pass from Billy Wade (Paige Cothren kick),0,10
2,2.0,Browns,Bobby Mitchell 4 yard pass from Milt Plum (Lou Groza kick),7,10
3,2.0,Rams,Del Shofner 55 yard pass from Billy Wade (Paige Cothren kick),7,17
4,3.0,Browns,Jim Brown 38 yard rush (Lou Groza kick),14,17
5,3.0,Rams,Tommy Wilson 13 yard rush (Paige Cothren kick),14,24
6,3.0,Rams,Paige Cothren 11 yard field goal,14,27
7,4.0,Browns,Ray Renfro 21 yard pass from Milt Plum,20,27
8,4.0,Browns,Jim Brown 5 yard rush (Lou Groza kick),27,27
9,4.0,Browns,Lou Groza 9 yard field goal,30,27
