,Quarter,Time,Tm,Detail,DET,WAS
0,1.0,2:34,Redskins,Dustin Hopkins 28 yard field goal,0,3
1,2.0,13:12,Lions,Matt Prater 24 yard field goal,3,3
2,2.0,13:09,Redskins,Steven Sims 91 yard kickoff return (Dustin Hopkins kick),3,10
3,2.0,5:48,Redskins,Dustin Hopkins 37 yard field goal,3,13
4,2.0,0:19,Lions,Matt Prater 49 yard field goal,6,13
5,3.0,10:08,Lions,Logan Thomas 12 yard pass from Jeff Driskel (Matt Prater kick),13,13
6,4.0,12:03,Lions,Matt Prater 21 yard field goal,16,13
7,4.0,1:54,Redskins,Dustin Hopkins 42 yard field goal,16,16
8,4.0,0:20,Redskins,Dustin Hopkins 39 yard field goal,16,19
