,Quarter,Tm,Detail,RAM,CLE
0,1.0,Browns,Jeff Jaeger 23 yard field goal,0,3
1,2.0,Browns,Kevin Mack 16 yard rush (Jeff Jaeger kick),0,10
2,2.0,Browns,Felix Wright 40 yard interception return (Jeff Jaeger kick),0,17
3,2.0,Browns,Jeff Jaeger 48 yard field goal,0,20
4,2.0,Rams,Eric Dickerson 27 yard rush (Mike Lansford kick),7,20
5,2.0,Browns,Jeff Jaeger 41 yard field goal,7,23
6,3.0,Browns,Brian Brennan 53 yard pass from Bernie Kosar (Jeff Jaeger kick),7,30
7,3.0,Rams,Charles White 1 yard rush (Mike Lansford kick),14,30
8,3.0,Rams,Mike Lansford 27 yard field goal,17,30
