,Quarter,Time,Tm,Detail,MIA,KAN
0,1.0,9:41,Chiefs,Harrison Butker 31 yard field goal,0,3
1,1.0,3:29,Dolphins,Cody Parkey 44 yard field goal,3,3
2,2.0,13:00,Chiefs,Travis Kelce 9 yard pass from Alex Smith (Harrison Butker kick),3,10
3,2.0,8:11,Dolphins,Cody Parkey 28 yard field goal,6,10
4,2.0,3:37,Chiefs,Kareem Hunt 1 yard rush (Harrison Butker kick),6,17
5,2.0,3:22,Dolphins,Jakeem Grant 65 yard pass from Jay Cutler (Cody Parkey kick),13,17
6,2.0,0:07,Chiefs,Harrison Butker 32 yard field goal,13,20
7,3.0,10:24,Chiefs,Harrison Butker 21 yard field goal,13,23
8,4.0,12:16,Chiefs,Harrison Butker 29 yard field goal,13,26
9,4.0,3:41,Chiefs,Harrison Butker 49 yard field goal,13,29
