,Quarter,Time,Tm,Detail,ATL,DET
0,1.0,8:17,Falcons,Mohamed Sanu 4 yard pass from Matt Ryan (Matt Bryant kick),7,0
1,2.0,12:51,Falcons,Matt Bryant 36 yard field goal,10,0
2,2.0,10:27,Lions,Matt Prater 55 yard field goal,10,3
3,2.0,5:00,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),17,3
4,2.0,1:50,Lions,Matt Prater 40 yard field goal,17,6
5,2.0,1:41,Lions,Glover Quin 37 yard interception return (Matt Prater kick),17,13
6,2.0,0:31,Falcons,Matt Bryant 48 yard field goal,20,13
7,3.0,11:37,Falcons,Matt Bryant 40 yard field goal,23,13
8,3.0,4:51,Lions,Golden Tate 11 yard pass from Matthew Stafford (Matt Prater kick),23,20
9,3.0,1:24,Lions,Matt Prater 35 yard field goal,23,23
10,4.0,14:50,Falcons,Taylor Gabriel 40 yard pass from Matt Ryan (Matt Bryant kick),30,23
11,4.0,11:48,Lions,Matt Prater 57 yard field goal,30,26
